control_id,iteration,fact_index,mover_score,is_found_binary,status,fact_text,evidence_found
148,1,1,0.8602,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased positively from 1963 to 451
148,1,2,0.5919,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the volume of active and closed cases necessitates an investigation into data accuracy for incident creation
148,1,3,0.7642,0,INDICATED,323 closed incidents had high severity.,closed incidents show poor compliance with 323
148,1,4,0.7672,0,INDICATED,216 closed incidents had critical severity.,216 as critical severity immediate remediation
148,1,5,0.5755,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",the 1598 closed incidents show poor compliance with
148,1,6,0.7675,0,INDICATED,Average process fitness was approximately 0.695,average fitness of 0.6948
148,1,7,0.7606,0,INDICATED,The average SLA was very low with 44.43%.,a critically low sla attainment rate of 44.43%
148,1,8,0.5484,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average fitness of 0.6948 however a critically low sla attainment rate of 44.43%
148,2,1,0.8938,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased significantly from 1963 to 451
148,2,2,0.5851,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the incident management process shows moderate compliance with an average fitness of 0.69 while active incidents
148,2,3,0.6041,0,INDICATED,323 closed incidents had high severity.,incident management process shows moderate compliance
148,2,4,0.594,0,MISSING,216 closed incidents had critical severity.,were high or critical severity)
148,2,5,0.5733,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",an average fitness of 0.69 while active incidents decreased significantly
148,2,6,0.7764,0,INDICATED,Average process fitness was approximately 0.695,average fitness of 0.69 while active
148,2,7,0.7352,0,INDICATED,The average SLA was very low with 44.43%.,that only 44.43% of incidents met their sla
148,2,8,0.6065,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average resolution time of 21807.82 minutes to ensure contractual obligations are met
148,3,1,0.9523,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreasing from 1963 to 451
148,3,2,0.579,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the incident management process shows moderate compliance with an average fitness of 0.69
148,3,3,0.7336,0,INDICATED,323 closed incidents had high severity.,323 high and 216 critical severity incidents
148,3,4,0.81,0,INDICATED,216 closed incidents had critical severity.,216 critical severity incidents
148,3,5,0.5738,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",the closure of 323 high and 216 critical
148,3,6,0.786,0,INDICATED,Average process fitness was approximately 0.695,average fitness of 0.69 falling
148,3,7,0.764,0,INDICATED,The average SLA was very low with 44.43%.,the low sla adherence with only 44.43%
148,3,8,0.6021,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,323 high and 216 critical severity incidents along with an average resolution time of approximately 15
148,4,1,1.0,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased from 1963 to 451
148,4,2,0.5837,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,compliance severity indicating substantial deviations from the reference model for these cases while the number of active incidents decreased
148,4,3,0.5978,0,MISSING,323 closed incidents had high severity.,(540 incidents) were classified with high
148,4,4,0.5941,0,MISSING,216 closed incidents had critical severity.,or critical process compliance severity indicating
